Frédéric François	['composer', 'singer', 'radio personality']	Frédéric François (born Francesco Barracato; 3 June 1950 in Lercara Friddi, Sicily, Italy), is a French-speaking singer-composer living in Belgium.
List of German films of 1931	['Wikimedia list article']	This is a list of German films of 1931.
Vangapandu Usha	['songwriter']	Vangapandu Usha is a Telugu-language balladeer.
Chioggia	['comune of Italy']	Chioggia (Italian: [ˈkjɔddʒa]; Venetian: Cióxa [ˈtʃɔza], locally [ˈtʃoza]; Latin: Clodia) is a coastal town and comune of the Metropolitan City of Venice in the Veneto region of northern Italy.
World Golf Foundation	['organization']	The World Golf Foundation (WGF) mission is to unite the golf industry around initiatives that promote, enhance the growth of and provide access to the game worldwide, while preserving golf’s traditional values and passing them on to others.
Funk Tango	['album']	Funk Tango is an album by the Paquito D'Rivera Quintet?, released through Sunny Side Records in 2007.
Copenhagen: Elements of Life World Tour	['live album']	Copenhagen: Elements of Life World Tour is a DVD of Tiësto's Elements of Life World Tour November 10, 2007 performance at Parken Stadium in Copenhagen, Denmark.
Enemy Lines: Rebel Stand	['book']	Enemy Lines: Rebel Stand (also released as Enemy Lines II: Rebel Stand) is the twelfth installment of the New Jedi Order series, set in the Star Wars universe.
Mengesh	['district of Ethiopia']	Mengesh is one of the woredas in the Gambela Region of Ethiopia.
1904 in France	['events in a specific year or time period']	Events from the year 1904 in France.
Taiyō no Komachi Angel	['single']	Taiyō no Komachi Angel (太陽のKomachi Angel, "Sun's Komachi Angel") is the fifth single by B'z, released on June 13, 1990.
John Craig Freeman	['artist']	John Craig Freeman (born February 16, 1959) is a contemporary artist and a Professor of New Media at Emerson College in Boston.
Four-banded sandgrouse	['taxon']	  The four-banded sandgrouse (Pterocles quadricinctus) is a medium-sized bird in the sandgrouse family.
Ramiro Saavedra	['singer']	Ramiro Saavedra Linares (born 14 March 1984, Arequipa), is a Peruvian singer, best known for being the winner of imitation and singing reality television series Yo soy (I Am), which characterized grunge singer Kurt Cobain.
Thomas Cocquerel	['actor']	Thomas Cocquerel is an Australian actor.
Paradise Valley High School	['high school', 'state school']	Paradise Valley High School (PVHS) was the first of five high schools built in the Paradise Valley Unified School District, located in Phoenix, Arizona.
François Compaoré	['politician']	François Compaoré (born 11 January 1954) is a Burkinabé politician.
Wilhelm von Diez	['illustrator', 'painter', 'university teacher']	Albrecht Christoph Wilhelm von Diez (17 January 1839, Bayreuth – 25 February 1907, Munich) was a German painter and illustrator of the Munich School.
Manbazar (Vidhan Sabha constituency)	['constituency of the West Bengal Legislative Assembly']	Manbazar (Vidhan Sabha constituency) is an assembly constituency in Purulia district in the Indian state of West Bengal.
Kölner Rudergesellschaft 1891	['rowing club']	The Kölner Rudergesellschaft 1891 (abbr.
Pennsylvania Route 118	['road']	Pennsylvania Route 118 (PA 118) is a 42.
Absolute Anthology 1965 to 1969	['compilation album']	Absolute Anthology 1965 to 1969 is a compilation album by Australian rock band The Easybeats, released on November 17, 1980.
Niata	['human settlement']	Niata (Greek: Νιάτα) is a village and a former municipality in Laconia, Peloponnese, Greece.
The Adventure of the Yellow Face	['literary work']	"The Adventure of the Yellow Face", one of the 56 short Sherlock Holmes stories written by Sir Arthur Conan Doyle, is the third tale from The Memoirs of Sherlock Holmes.
Campanology	['academic discipline', 'music term']	Campanology (from Late Latin campana, "bell"; and Greek -λογία, -logia) is the study of bells.
Falcons–Panthers rivalry	['team rivalries in sports']	The Falcons–Panthers rivalry is a rivalry between the Atlanta Falcons and Carolina Panthers of the National Football League.
Brianna Perry	['actor', 'singer-songwriter', 'rapper', 'model', 'film actor']	Brianna Perry (born January 11, 1992), also known as Lil' Brianna, is an American rapper and actress from Miami-Dade County, Florida.
Pompton Aquatic Park	['park']	Pompton Aquatic Park is a riverside park that spans the border of Wayne and Pompton Lakes in Passaic County, and the Pompton Plains section of Pequannock Township in Morris County, New Jersey, United States.
Andrea Lisuzzo	['association football player']	Andrea Lisuzzo (born 26 January 1981) is a former Italian footballer.
Alfred Richard Orage	['journalist', 'publisher', 'philosopher']	Alfred Richard Orage[p] (22 January 1873 – 6 November 1934) was a British intellectual, now best known for editing the magazine The New Age.
Lee Man Fong	['artist', 'painter']	Lee Man Fong (Chinese: 李敏峯; pinyin: Lǐmǐnfēng; Jyutping: lei5 man5 fung1; born November 14, 1913 – April 3, 1988) was a painter born in Guangzhou, China.
Gérard de Cortanze	['translator', 'literary critic']	Gérard de Cortanze (born 22 July 1948 in Paris) is a French writer, essayist, translator and literary critic.
Michael Card	['singer', 'songwriter']	Michael Card (born April 11, 1957) is an American, Christian singer-songwriter, musician, author, and radio host from Franklin, Tennessee.
The Black Duke	['film']	The Black Duke (Italian: Il duca nero) is a 1963 Italian historical adventure film directed by Pino Mercanti.
2017 Fast5 Netball World Series	['sports season']	The 2017 Fast5 Netball World Series was the eighth staging of the annual Fast5 Netball World Series, and the fifth to be played under the new Fast5 rules, which replaced the older fastnet rules introduced in 2009.
Karoline Bjørnson	['actor']	Karoline Bjørnson (née Reimers, 1 December 1835 – 27 June 1934) was a Norwegian actress.
Hōgi Station	['railway station']	Hōgi Station is a railway station on the Sanin Main Line of West Japan Railway Company (JR West) located in, Tottori Prefecture, Japan.
HMS Engadine	['Wikimedia disambiguation page']	Two warships of the Royal Navy have been called HMS Engadine.
Dodamitiyawa	['human settlement']	Dodamitiyawa is a village in Sri Lanka.
Lissolica	['taxon']	Lissolica is a genus of moths in the family Geometridae.
The Dark Fantastic	['band']	The Dark Fantastic was an American rock band from Seattle, Washington, formed in 1997.
Amblyprora	['taxon']	Amblyprora is a genus of moths of the family Noctuidae.
Bentley T-series	['automobile model']	The Bentley T-Series is a luxury automobile produced by Bentley Motors Limited in the United Kingdom from 1965 to 1980.
Mario Aguiñada Carranza	['politician']	Mario Aguiñada Carranza (1942 – 25 August 2015) was a Salvadoran activist and politician.
Ampelocera	['taxon']	Ampelocera is a genus of low- to mid-elevation rainforest trees of the family Ulmaceae that occur from Mexico to Brazil.
Center for Swedenborgian Studies	['seminary']	The Center for Swedenborgian Studies (formerly called the New Church Theological School or NCTS and also previously known as the Swedenborgian House of Studies) is the seminary of the Swedenborgian Church of North America at the Graduate Theological Union  in Berkeley, California.
Timothy Huang	['composer', 'songwriter', 'lyricist']	Timothy Huang (Traditional Chinese: 黃明展, Pinyin: Hwang Mingtzan) is a Taiwanese American playwright, actor, composer and lyricist.
Sergei Skorykh	['association football player']	Sergei Skorykh (born 25 May 1984) is a Kazakh football midfielder who is currently playing for FC Shakhter Karagandy.
1965 Intercontinental Cup	['sports season']	The 1965 Intercontinental Cup was a football tie held over two legs in September 1965 between the winners of the 1964–65 European Cup Internazionale and Independiente, winners of the 1965 Copa Libertadores, premier competitions in European and South American club football.
USS Giansar (AK-111)	['ship']	USS Giansar (AK-111) was a Crater-class cargo ship originally laid down as the liberty ship SS Thomas Ewing.
Coalspur Formation	['formation']	The Coalspur Formation is an Upper Cretaceous to lower Palaeocene stratigraphic unit of the Western Canada Sedimentary Basin in the foothills of southwestern Alberta.
Leeuwarder Courant	['newspaper']	The Leeuwarder Courant is the oldest daily newspaper in the Netherlands.
Arrojadocharis	['taxon']	Arrojadocharis is a genus of flowering plants in the daisy family, Asteraceae.
Nadine Nyadjo	['volleyball player']	Leonce Nadine Nyadjo Nguepmegne  (born (1985-11-18)18 November 1985 Bertoua) is a Cameroonian female volleyball player.
Saku Ylätupa	['association football player']	Saku Ylätupa (born 4 August 1999) is a Finnish footballer who plays for Swedish club AIK.
Lake Malawi sardine	['taxon']	The Lake Malawi sardine or lake sardine (Engraulicypris sardella)  is an African species of freshwater fish in the family Cyprinidae.
CCGS Cap Breton	['lifeboat']	CCGS Cap Breton  is one of the Canadian Coast Guard's 36 Cape-class motor lifeboats.
Gustavo Larrea	['politician']	Gustavo Larrea is a former Interior Minister of Ecuador who had been appointed in 2006.
Old Darülfünun building	['architectural structure', 'former building or structure']	Old Darülfünun building (Turkish: Eski Darülfünun Binası) was a university building constructed next to Haghia Sophia in Istanbul, Ottoman Empire in the mid 19th century.
Inkberrow Castle	['castle']	Inkberrow Castle was situated in the village of Inkberrow in Worcestershire, some 10 km south of Redditch (grid reference SP017572).
Cowtail stingray	['taxon']	The cowtail stingray (Pastinachus sephen) is a species of stingray in the family Dasyatidae, widespread in the Indo-Pacific region and occasionally entering freshwater habitats.
Milltown Bridge	['bridge']	Milltown Bridge is a bridge over the River Dodder in Milltown, Dublin.
List of transforms	['Wikimedia list article']	This is a list of transforms in mathematics.
Dichagyris triphaenoides	['taxon']	Dichagyris triphaenoides is a species of cutworm or dart moth in the family Noctuidae.
Kelly-D	['aircraft']	The Kelly-D is an American homebuilt aircraft that was designed by Dudley R.
Zeidora galapagensis	['taxon']	Zeidora galapagensis is a species of sea snail, a marine gastropod mollusk in the family Fissurellidae, the keyhole limpets and slit limpets.
Journal of the American Academy of Dermatology	['scientific journal']	The Journal of the American Academy of Dermatology, sometimes abbreviated JAAD, is a monthly peer-reviewed medical journal covering dermatology.
Phyllodactylus reissii	['taxon']	Phyllodactylus reissii, also known as Peters' leaf-toed gecko or coastal leaf-toed gecko, is a species of gecko.
Play the King	['Thoroughbred', 'race horse']	Play the King (1983–1989) was a Canadian Champion Thoroughbred racehorse.
2016 Minnesota Twins season	['baseball team season']	The 2016 Minnesota Twins season  was the 56th season for the franchise in the Twin Cities of Minnesota, their seventh season at Target Field and the 116th overall in the American League.
Meet the Santas	['television film']	Meet the Santas is an American television film starring Steve Guttenberg and Crystal Bernard.
Great Budbridge Manor	['manor house', 'English country house']	The Great Budbridge Manor (original name in Domesday Book: Messetone or Marshton; also: Botebrigge, 13th century; Butbrygg or Northbudbrygge, 15th century) is a manor house just south of Merstone, near Arreton, Isle of Wight, England.
God Is a Girl	['song', 'single']	"God Is a Girl" is the third and final single from German trance group Groove Coverage's debut album, Covergirl.
Guy Ellcock Pilgrim	['geologist', 'paleontologist']	(Henry) Guy Ellcock Pilgrim (Stepney, Barbados, December 24, 1875 – Upton, Berkshire, September 15, 1943) was a British geologist and palaeontologist.
Aleksandrów Kujawski railway station	['railway station']	Aleksandrów Kujawski railway station is a railway station serving the town of Aleksandrów Kujawski, in the Kuyavian-Pomeranian Voivodeship, Poland.
Central Visual and Performing Arts High School	['high school']	Central Visual and Performing Arts High School (formerly Central High School) is a magnet high school in St.
Henry Hunnings	['engineer']	Henry Hunnings (25 July 1842 – 4 May 1886) was a British clergyman and inventor.
Fusinus rolani	['taxon']	Fusinus rolani is a species of sea snail, a marine gastropod mollusk in the family Fasciolariidae, the spindle snails, the tulip snails and their allies.
Caretaker government	['cabinet', 'term']	A caretaker government is a temporary ad hoc government that performs some governmental duties and functions in a country until a regular government is elected or formed.
László Tapasztó	['chess player']	László Tapasztó Binet (born September 5,  1930, Orosháza, Hungary) is a Hungarian–Venezuelan chess master.
Takehito Koyasu	['singer', 'seiyū']	Takehito Koyasu (子安 武人, Koyasu Takehito, born May 5, 1967 in Yokohama, Kanagawa Prefecture) is a Japanese voice actor narrator, and singer.
Heliozona	['taxon']	Heliozona is a genus of tiger moths in the family Erebidae.
Bishop of Birkenhead	['position']	The Bishop of Birkenhead is an episcopal title used by a suffragan bishop of the Church of England Diocese of Chester, in the Province of York, England.
Nottingham Hockey Club	['sports club']	Nottingham Hockey Club is a field hockey club based at Goosedale Lane in Bestwood Village, Nottingham The club was formed in 1919 with the merger of Notts Hockey Club and Notts Grosvenor and played at the Riverside pitch at Trent Bridge.
Masera	['comune of Italy']	Masera is a comune (municipality) in the Province of Verbano-Cusio-Ossola in the Italian region Piedmont, located about 130 kilometres (81 mi) northeast of Turin and about 30 kilometres (19 mi) northwest of Verbania.
Church of the Seat of Mary	['church building', 'octagonal church']	The Church of the Seat of Mary (Latin: Ecclesia Kathismatis, from Greek: κάθισμα, romanized: kathisma, lit.
Headgirl	['band']	Headgirl was a collaboration between Motörhead and Girlschool in 1980, the result being the St.
Maureen Garrett	['actor']	Maureen Garrett (born Maureen Mason Garrett; 1948 in Rocky Mount, North Carolina) is an American actress.
Caspase-2	['enzyme family']	Caspase-2 (EC 3.
Samuelsson	['family name', 'patronymic surname']	Samuelsson is a Swedish patronymic surname meaning "son of Samuel".
Burnage Academy for Boys	['secondary school', 'boys school', 'academy school']	Burnage Academy for Boys (formerly known as Burnage High School) is a secondary school with academy status, located in Burnage, Manchester, England.
Affieux	['commune of France']	Affieux is a French commune in the Corrèze department in the Nouvelle-Aquitaine region of central France.
Nalanghin	['village of Burkina Faso']	Nalanghin is a commune in the Gounghin Department of Kouritenga Province in the Centre-Est region of Burkina Faso.
Chazhegovo	['hamlet', 'administrative territorial entity of Russia']	Chazhegovo (Russian: Чажегово) is a rural locality (a village) in Gaynsky District, Perm Krai, Russia.
Djair Kaye de Brito	['association football player']	Djair Kaye de Brito (born 21 September 1971) is a Brazilian international footballer nicknamed Djair.
Idursulfase	['medication', 'protein family', 'biopharmaceutical']	Idursulfase (brand name Elaprase), manufactured by Shire, is a drug used to treat Hunter syndrome (also called MPS-II).
Ficus burtt-davyi	['taxon']	Ficus burtt-davyi Hutch.
Eupithecia pippa	['taxon']	Eupithecia pippa is a moth in the family Geometridae.
Nyūno Station	['railway station']	Nyūno Station (入野駅, Nyūno-eki) is a railway station in Higashihiroshima, Hiroshima Prefecture, Japan, operated by West Japan Railway Company (JR West).
Psaltoda	['taxon']	Psaltoda is a genus of cicada found in eastern Australia.
Mahjabeen Khaled	['politician']	Mahjabeen Khaled (born 16 December 1966) is a Bangladeshi politician from the Bangladesh Awami League party.
Virgibacillus kapii	['taxon']	Virgibacillus kapii is a Gram-positive and rod-shaped bacterium from the genus of Virgibacillus which has been isolated from Thai shrimp paste from Nakhon Si Thammarat Province in Thailand.
Rotla	['river', 'stream']	Rotla is a 40-kilometre (25 mi) long river in Trøndelag county, Norway.
List of painters from Romania	['Wikimedia list article']	This is a list of painters from Romania.
Rimavská Seč	['municipality of Slovakia']	Rimavská Seč (in Hungarian language: Rimaszécs) is a village and municipality with approx.
Hygroryza	['taxon']	Hygroryza (watergrass) is a genus of Asian plants in the grass family.
Pseudonebularia doliolum	['taxon']	Pseudonebularia doliolum is a species of sea snail, a marine gastropod mollusk in the family Mitridae, the miters or miter snails.
Pedemonte	['comune of Italy']	Pedemonte is a town in the province of Vicenza, Veneto, Italy.
Rumah Baka	['human settlement']	Rumah Baka is a settlement in the Belaga division of Sarawak, Malaysia.
Stërmas	['human settlement']	Stërmas is a village in the former municipality of Petrelë in Tirana County, Albania.
Kadiolo Cercle	['cercle of Mali']	Kadiolo Cercle is an administrative subdivision of the Sikasso Region of southern Mali.
Delhi Public School, Giridih	['school']	Delhi Public School, Giridih (DPS) is a school run by the DPS society in  Giridih in the Indian state of Jharkhand.
Dili Allstars	['band']	The Dili Allstars are an Australian and East Timorese reggae/ska band based in Melbourne.
Mari Holm Lønseth	['lawyer', 'politician']	Mari Holm Lønseth  (born 29 August 1991) is a Norwegian politician.
Harry Abofs	['American football player', 'Canadian football player']	Harry Abofs (April 14, 1948 – 1993) was a Canadian football running back, defensive back, and return specialist for multiple Canadian Football League teams in the early 1970s.
Jean-Baptiste-Antoine Suard	['writer', 'translator', 'journalist', 'literary critic', 'linguist']	Jean-Baptiste-Antoine Suard (15 January 1732 – 20 July 1817) was a French journalist, translator and man of letters during the Age of Enlightenment.
Leo Deluglio	['actor', 'television actor']	Leo Deluglio (born 27 May 1990) is an Argentine actor and singer.
Hwang Dong-hyuk	['screenwriter', 'film director']	Hwang Dong-hyuk (born 1971) is a South Korean film director and screenwriter.
Adolf von Baeyer	['chemist', 'university teacher']	Johann Friedrich Wilhelm Adolf von Baeyer (German: [ˈbaɪɐ]; 31 October 1835 – 20 August 1917) was a German chemist who synthesised indigo, developed a nomenclature for cyclic compounds (that was subsequently extended and adopted as part of the IUPAC organic nomenclature).
KéMag mine	['iron mine']	The KéMag mine is a large iron mine located in east Canada in Quebec.
The Divine Gift	['film']	The Divine Gift is a 1918 British silent drama film directed by Thomas Bentley and starring Joyce Dearsley, Ernest Hendrie and Henrietta Watson.
Samuel Cleland Davidson	['engineer']	Sir Samuel Cleland Davidson, KBE (18 November 1846 – 18 August 1921) was a British inventor and engineer.
Sincerely, Brenda Lee	['album']	Sincerely, Brenda Lee is the sixth studio album by American pop and country artist Brenda Lee.
Winner Take Nothing	['book']	Winner Take Nothing is a 1933 collection of short stories by Ernest Hemingway.
Acrolophus lerodes	['taxon']	Acrolophus lerodes is a moth of the family Acrolophidae.
Military governor of Paris	['Military Governor']	The Military Governor of Paris has a very old and prestigious post in the French Army.
Moundsville Bridge	['bridge']	The Moundsville Bridge is a four-lane through arch bridge that connects Mead Township, Ohio and Moundsville, West Virginia across the Ohio River.
List of municipalities in Siirt Province	['Wikimedia list article']	This is the List of municipalities in Siirt Province, Turkey as of October 2007.
Bronkhorstspruit	['town']	Bronkhorstspruit is a town 50 km east of Pretoria, Gauteng, South Africa along the N4 highway towards Witbank.
Firlej	['village of Poland']	Firlej [ˈfirlɛi̯] is a village in Lubartów County, Lublin Voivodeship, in eastern Poland.
Makiyamaia sibogae	['taxon']	Makiyamaia sibogae is a species of sea snail, a marine gastropod mollusk in the family Clavatulidae.
Beach soccer at the 2008 Asian Beach Games	['sports season']	Beach soccer at the 2008 Asian Beach Games were held from 18 October to 26 October 2008 in Bali, Indonesia.
Atirus Shopping Center	['shopping mall']	Atirus Shopping Center (Turkish: Atirus AVM), opened on December 17, 2005, is a modern shopping mall located in the suburban district of Büyükçekmece in Istanbul, Turkey.
Fabienne	['female given name']	Fabienne is a feminine French given name.
2011 National League Championship Series	['sports season']	The 2011 National League Championship Series (abbreviated NLCS) was a best-of-seven playoff pitting the winners of the 2011 National League Division Series, the St.
Dicentria violascens	['taxon']	Dicentria violascens is a moth of the family Notodontidae.
Gisela Hahn	['actor', 'film actor']	Gisela Hahn (born Gisela Drenkhan; 13 May 1943) is a German film actress.
The Heron and the Fish	['fable']	The Heron and the Fish is a situational fable constructed to illustrate the moral that one should not be over-fastidious in making choices since, as the ancient proverb proposes, 'He that will not when he may, when he will he shall have nay'.
Canadian Direct Insurance Premier League	['sports league']	The Canadian Direct Insurance Premier League (also known as the CDI Premier League) is a provincial rugby union competition currently contested by eight clubs in British Columbia, Canada and one in the U.
Ihor Ševčenko	['historian', 'philologist', 'linguist']	Ihor Ševčenko (Ukrainian: Ігор Іванович Шевченко; 10 September 1922 – 26 December 2009) was a Polish-born philologist and historian of Ukrainian origin.
Mongol Derby	['sport competition']	The Mongol Derby is an equestrian endurance race.
Hearst Elans	['ice hockey team']	The Hearst Elans were a Canadian Junior ice hockey team from Hearst, Ontario.
Vexillum turriger	['taxon']	Vexillum turriger is a species of small sea snail, marine gastropod mollusk in the family Costellariidae, the ribbed miters.
Taguatinga Esporte Clube	['association football club']	Taguatinga Esporte Clube, commonly known as Taguatinga, are a Brazilian football team from Taguatinga, in Distrito Federal.
Tim Dierßen	['association football player']	Tim Dierßen (born 15 January 1996) is a German footballer who most recently played for Hannover 96 as an attacking midfielder.
Dawkinsia filamentosa	['taxon']	Dawkinsia filamentosa is a species of barb.
Gmina Słomniki	['urban-rural municipality of Poland']	Gmina Słomniki is an urban-rural gmina (administrative district) in Kraków County, Lesser Poland Voivodeship, in southern Poland.
Evangelina Salazar	['film actor']	Evangelina Salazar is an Argentine actress.
Kharatsay	['village', 'administrative territorial entity of Russia']	Kharatsay (Russian: Харацай) is a rural locality (a selo) in Zakamensky District, Republic of Buryatia, Russia.
The Chronicles of Riddick	['film']	The Chronicles of Riddick is a 2004 American science fiction adventure film which follows the adventures of Richard B.
Armando Ribeiro	['association football player']	Armando Ribeiro de Aguiar Malda (born 16 January 1971), known simply as Armando, is a Spanish retired footballer who played as a goalkeeper.
Argyrostrotis quadrifilaris	['taxon']	Argyrostrotis quadrifilaris, the four-lined chocolate moth, is a moth of the family Noctuidae.
Abderrahman Sadik Karim	['politician']	Abderrahman Sadik Karim born at 2 March 1962 in Kirkuk was Minister of Environment in the first cabinet appointed by the Interim Iraq Governing Council in September 2003.
Grey South	['federal electoral district of Canada']	Grey South was a federal electoral district represented in the House of Commons of Canada from 1876 to 1917.
National Party of Retirees and Pensioners	['political party']	National Party of Retirees and Pensioners (Polish: Krajowa Partia Emerytów i Rencistów, KPEiR) is a minor left-wing political party in Poland.
Gmina Smyków	['rural municipality of Poland']	Gmina Smyków is a rural gmina (administrative district) in Końskie County, Świętokrzyskie Voivodeship, in south-central Poland.
Canariellidae	['taxon']	Canariellidae is a taxonomic family of small to medium-sized air-breathing land snails, terrestrial pulmonate gastropod mollusks in the superfamily Helicoidea.
The Loveliest Night of the Year	['song']	"The Loveliest Night of the Year" is a popular song.
Venda	['ethnic group', 'South African bantustan']	Venda () was a Bantustan in northern South Africa, which is fairly close to the South African border with Zimbabwe to the north, while to the south and east, it shared a long border with another black homeland, Gazankulu.
Dyckia frigida	['taxon']	Dyckia frigida is a plant species in the genus Dyckia.
Big White Ski Resort	['ski resort']	Big White Ski Resort, or simply Big White, is a ski resort located 56 km (35 mi) southeast of Kelowna in the Southern Interior of British Columbia.
Eugenia rendlei	['taxon']	Eugenia rendlei is a species of plant in the family Myrtaceae.
Pablo Pineda Gaucín	['journalist']	Pablo Pineda Gaucín (c.
Junior Yearly Meeting	['Yearly Meeting']	Junior Yearly Meeting (JYM) is a gathering for young Quakers.
Blue-naped parrot	['taxon']	The blue-naped parrot (Tanygnathus lucionensis), also known as the blue-crowned green parrot, Luzon parrot, the Philippine green parrot, and locally known as pikoy, is a parrot found throughout the Philippines.
Emīls Dārziņš Music School	['conservatory']	The Emīls Dārziņš Music School (Emīla Dārziņa mūzikas vidusskola) is the junior music conservatory in located in the Āgenskalns district of Riga, named after Emīls Dārziņš.
Galleria nazionale di Parma	['museum', 'real property']	The Galleria nazionale di Parma is an art gallery in Parma, northern Italy.
Florida Western and Northern Railroad	['railway line']	The Florida Western and Northern Railroad was a railroad line built and operated by the Seaboard Air Line Railroad running from Coleman, Florida (near Wildwood) all the way to West Palm Beach via Auburndale and Sebring (near Lake Okeechobee), a distance of 204 miles.
Droptopwop	['album']	Droptopwop is a commercial mixtape by American rapper Gucci Mane.
Octroi	['tax']	Octroi (French pronunciation: ​[ɔktʁwa]; Old French: octroyer, to grant, authorize; Lat.
La Férée	['commune of France']	La Férée  is a commune in the Ardennes department in northern France.
Congonhal	['municipality of Brazil']	Congonhal is a municipality in the state of Minas Gerais in the Southeast region of Brazil.
Elisabeta Lazăr	['rower']	Elisabeta Lazăr (née Erzsébet Lázár on 22 August 1950) is a retired Romanian rower who mostly competed in the quadruple sculls.
André Bordang	['artistic gymnast']	André Bordang (August 8, 1875 – 1950) was a Luxembourgian gymnast who competed in the 1912 Summer Olympics.
Jocara maurontia	['taxon']	Jocara maurontia is a species of snout moth in the genus Jocara.
Nayrab, Idlib	['village']	Nayrab, Idlib (Arabic: النيرب‎)  is a Syrian village located in Idlib Nahiyah in Idlib District, Idlib.
Ata Bolaghi	['village']	Ata Bolaghi (Persian: اتابلاغي‎, also Romanized as Ātā Bolāghī) is a village in Akhtachi-ye Mahali Rural District, Simmineh District, Bukan County, West Azerbaijan Province, Iran.
Hardcore Justice (2012)	['professional wrestling event']	Hardcore Justice (2012) was a professional wrestling pay-per-view (PPV) event produced by Total Nonstop Action Wrestling (TNA) promotion, which took place on August 12, 2012 at the Impact Wrestling Zone in Orlando, Florida.
Magazine Luiza	['business']	Magazine Luiza, or Magalu, is one of the largest Brazilian retail companies together with GPA, Viavarejo, Lojas Americanas and others.
Saint-Nazaire-de-Valentane	['commune of France']	Saint-Nazaire-de-Valentane is a commune in the Tarn-et-Garonne département in the Occitanie region in southern France.
The Outside Woman	['film']	The Outside Woman is a lost 1921 American comedy film directed by Sam Wood and written by Douglas Bronston.
Mazdoor Mukti Morcha	['trade union']	Mazdoor Mukti Morcha (Workers Liberation Front), the Punjab affiliate of the All India Agricultural Labour Association, the agriworker wing of Communist Party of India (Marxist-Leninist) Liberation.
Eugène Manuel	['writer', 'poet', 'politician']	Eugène Manuel (13 July 1823 – 1901), French poet and man of letters.
Olivier Ameisen	['physician', 'cardiologist', 'academic', 'non-fiction writer']	Olivier Ameisen  (June 25, 1953 – July 18, 2013) was a French-American cardiologist who wrote a best-selling book about curing alcoholism using the drug baclofen.
Balablok	['animated short film']	Balablok is a 1972 animated short written and directed by Břetislav Pojar exploring the human propensity for resorting to violence over reason.
Citizen's Briefing Book	['book']	Citizen's Briefing Book is a compilation book of recommendations made to President Barack Obama by visitors to the Change.
Spanish Steps	['stairs', 'tourist attraction', 'architectural structure']	The Spanish Steps (Italian: Scalinata di Trinità dei Monti) are a set of steps in Rome, Italy, climbing a steep slope between the Piazza di Spagna at the base and Piazza Trinità dei Monti, dominated by the Trinità dei Monti church at the top.
Massamá	['freguesia', 'locality']	Massamá (Portuguese pronunciation: [mɐsɐˈma]) is a former civil parish in the municipality of Sintra, Lisbon District, Portugal.
Phyllonorycter conformis	['taxon']	Phyllonorycter conformis is a moth of the family Gracillariidae.
1953 NFL season	['sports season']	The 1953 NFL season was the 34th regular season of the National Football League.
Seminole Heights Residential District	['historic district']	The Seminole Heights Residential District, known also as the Seminole Heights Historic District, is a U.
